"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	2.59787617659882	0.988	0.674	0	"UBE2C"
0	2.35836137941483	0.993	0.671	0	"PTTG1"
0	2.10957217764351	0.997	0.812	0	"HMGB2"
0	1.92031288704084	0.976	0.639	0	"CENPF"
0	1.8892908420234	0.966	0.552	0	"CDC20"
0	1.86940279058238	0.993	0.746	0	"BIRC5"
0	1.80675159486816	0.987	0.791	0	"CKS2"
0	1.80551661242855	0.957	0.679	0	"KPNA2"
0	1.79936451104214	0.951	0.689	0	"TOP2A"
0	1.75107219095479	0.983	0.731	0	"NUSAP1"
0	1.74250363413212	0.978	0.588	0	"CCNB1"
0	1.73930882869207	0.975	0.579	0	"CCNB2"
0	1.54641052369172	0.963	0.624	0	"CKS1B"
0	1.44242414391034	0.988	0.885	0	"TUBB4B"
0	1.43172530755361	0.935	0.548	0	"PLK1"
0	1.41915055352917	0.963	0.63	0	"FAM64A"
0	1.3873680745291	0.95	0.677	0	"CDK1"
0	1.36184009583881	0.997	0.944	0	"ARL6IP1"
0	1.31044599575679	0.945	0.649	0	"CDKN3"
0	1.28591467098271	1	0.979	0	"TUBA1B"
0	1.25912474875242	1	0.983	0	"HMGN2"
0	1.2502703370568	0.967	0.635	0	"UBE2S"
0	1.22281029140258	1	0.982	0	"HMGB1"
0	1.19992956781821	0.966	0.689	0	"SMC4"
0	1.19738027370887	0.943	0.603	0	"CCNA2"
0	1.19577966530765	0.958	0.661	0	"MAD2L1"
0	1.19316368607022	0.931	0.579	0	"TPX2"
0	1.18407447802698	0.998	0.966	0	"H2AFZ"
0	1.16070446547165	0.946	0.615	0	"GTSE1"
0	1.13587543442778	0.987	0.796	0	"HMGB3"
0	1.12434880749457	0.969	0.653	0	"UBE2T"
0	1.11669935569587	0.906	0.622	0	"MKI67"
0	1.02990224861417	0.923	0.588	0	"PRC1"
0	1.02751900587482	0.881	0.52	0	"AURKB"
0	1.0168922872802	0.941	0.708	0	"H2AFX"
0	0.986924980746474	0.92	0.581	0	"CDCA3"
0	0.973196433254463	0.924	0.705	0	"CKAP2"
0	0.965913941613312	0.981	0.855	0	"H2AFV"
0	0.955314049306082	0.974	0.765	0	"ANP32E"
0	0.953147971797223	0.963	0.81	0	"CCDC34"
0	0.951231921659348	0.916	0.573	0	"TROAP"
0	0.942632967107252	1	0.94	0	"NUCKS1"
0	0.940333366470974	0.858	0.504	0	"AURKA"
0	0.935540766381562	0.885	0.506	0	"NUF2"
0	0.931659884622906	0.955	0.736	0	"MZT1"
0	0.915130045398525	0.892	0.6	0	"NEK2"
0	0.914212336239622	0.874	0.594	0	"PBK"
0	0.887800411425222	0.966	0.74	0	"DTYMK"
0	0.885671652670329	0.856	0.514	0	"CENPA"
0	0.866037318432913	0.886	0.55	0	"KIF2C"
0	0.862285509512991	0.915	0.63	0	"SGOL2"
0	0.846830449568483	0.955	0.765	0	"RAD21"
0	0.837271330721321	0.958	0.727	0	"BUB3"
0	0.836864253839931	0.933	0.787	0	"CDC25B"
0	0.816734794196144	0.873	0.582	0	"ASPM"
0	0.812585747354641	0.986	0.837	0	"RBMX"
0	0.792717082874748	0.876	0.563	0	"TACC3"
0	0.78326177567885	0.832	0.576	0	"PSRC1"
0	0.782685277399325	0.951	0.834	0	"ASCL1"
0	0.769491438755618	0.92	0.665	0	"MXD3"
0	0.768321035088064	0.92	0.688	0	"CENPW"
0	0.768282747103489	0.973	0.823	0	"DEK"
0	0.768047382872818	0.893	0.555	0	"SGOL1"
0	0.767263799473266	0.934	0.68	0	"KIFC1"
0	0.76518754624028	0.994	0.854	0	"TMSB15A"
0	0.762269634512633	0.845	0.602	0	"KNSTRN"
0	0.748152341723178	0.833	0.576	0	"PRR11"
0	0.746136226563126	0.858	0.667	0	"RACGAP1"
0	0.742316422496407	0.797	0.396	0	"CDCA8"
0	0.740301152850911	0.847	0.448	0	"HMMR"
0	0.733628800972878	0.939	0.643	0	"KIF20B"
0	0.721154661804247	0.876	0.576	0	"ECT2"
1.07305988505282e-255	0.716453926155735	0.973	0.882	3.21917965515847e-252	"HES6"
0	0.71370928042572	0.842	0.493	0	"CENPE"
9.10578961876747e-306	0.702727425807849	0.994	0.936	2.73173688563024e-302	"SRSF3"
0	0.701339130085733	0.942	0.694	0	"TMPO"
0	0.700120214079027	0.892	0.692	0	"KIF22"
0	0.700093428822566	0.876	0.674	0	"SPC25"
0	0.697633670358128	0.98	0.853	0	"SFPQ"
0	0.689053285475014	0.997	0.973	0	"RAN"
0	0.678392167846413	0.918	0.574	0	"CENPN"
0	0.666176155265268	0.937	0.74	0	"DDX39A"
1.31399435889971e-92	0.660488739387613	0.788	0.694	3.94198307669914e-89	"HIST1H4C"
1.47238382607151e-259	0.652491887705247	0.993	0.94	4.41715147821454e-256	"GNG5"
0	0.646844080863876	0.81	0.568	0	"DLGAP5"
0	0.639251384586754	0.839	0.613	0	"HJURP"
7.91090868846934e-230	0.633885167341235	1	0.992	2.3732726065408e-226	"TUBB"
2.36944492597523e-304	0.633578918280359	0.946	0.734	7.1083347779257e-301	"KIAA0101"
0	0.632795351440643	0.911	0.669	0	"ZWINT"
9.39008102334286e-294	0.630021254629351	0.916	0.697	2.81702430700286e-290	"TYMS"
1.35334157942426e-268	0.628952073677705	0.997	0.975	4.06002473827278e-265	"HNRNPA2B1"
0	0.625915289888905	0.846	0.533	0	"FAM83D"
1.96383924456469e-259	0.622598526367648	0.978	0.843	5.89151773369406e-256	"SNRPB"
0	0.615630010587994	0.783	0.485	0	"PIF1"
0	0.615304105423018	0.903	0.699	0	"TUBB6"
0	0.612596167541312	0.909	0.658	0	"SMC2"
1.63825571416258e-301	0.60947024051455	0.997	0.99	4.91476714248773e-298	"HNRNPA1"
0	0.60102639364795	0.896	0.576	0	"NCAPG"
0	0.600275217905991	0.879	0.608	0	"LBR"
3.23256209696288e-14	-0.595986894897267	0.857	0.817	9.69768629088864e-11	"CRABP1"
1.24669804396721e-111	-0.598752842143434	0.895	0.903	3.74009413190162e-108	"BEX2"
5.31897721861259e-73	-0.601799814262898	0.726	0.763	1.59569316558378e-69	"SEZ6L2"
5.84401939225517e-32	-0.605483600839304	0.979	0.956	1.75320581767655e-28	"MLLT11"
4.37982452825744e-53	-0.614167976322392	0.769	0.859	1.31394735847723e-49	"DDIT3"
2.11228826529299e-87	-0.635446730111944	0.89	0.891	6.33686479587896e-84	"SQSTM1"
9.06267420668702e-69	-0.640857857843445	0.827	0.895	2.7188022620061e-65	"NEAT1"
4.19299426707417e-70	-0.642445065090265	0.861	0.846	1.25789828012225e-66	"GNG3"
2.21441941682627e-113	-0.663894339619538	1	1	6.64325825047881e-110	"FTH1"
1.71920103634363e-05	-0.684453438037749	0.939	0.905	0.051576031090309	"TTR"
2.32632549572064e-33	-0.693453051663364	0.995	0.985	6.97897648716191e-30	"SOX4"
1.14512702993102e-72	-0.718089384433863	0.795	0.807	3.43538108979307e-69	"DCX"
1.18852096109602e-88	-0.82687543995595	0.981	0.974	3.56556288328806e-85	"CLU"
3.79214702631068e-87	-0.934217321245504	0.818	0.824	1.13764410789321e-83	"RTN1"
6.19548973339908e-179	-0.938327017531152	0.966	0.973	1.85864692001972e-175	"UCHL1"
4.50277282449888e-147	-0.992314521488658	0.999	1	1.35083184734966e-143	"FTL"
2.2461134100158e-154	-1.01238648744149	0.916	0.929	6.73834023004739e-151	"GAP43"
9.64833169934512e-195	-1.0171493374538	0.895	0.937	2.89449950980354e-191	"PCSK1N"
1.86534575995972e-158	-1.08777552813234	0.852	0.92	5.59603727987917e-155	"STMN4"
6.82473335274399e-94	-1.55208681643888	0.935	0.929	2.0474200058232e-90	"STMN2"
