"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	1.27233909265815	1	1	0	"FTL"
0	1.25551469765422	0.992	0.848	0	"DDIT3"
0	1.18302768574797	0.995	0.884	0	"SQSTM1"
0	1.02838857186969	0.983	0.792	0	"PPP1R15A"
0	0.980117449330839	0.98	0.845	0	"SLC3A2"
0	0.973015233337458	0.976	0.855	0	"CDKN1A"
0	0.939996090095883	0.995	0.948	0	"HSPB1"
0	0.93383412455619	0.935	0.825	0	"CRYAB"
0	0.918158734239224	0.82	0.434	0	"HIST1H1C"
0	0.915528638961597	0.985	0.887	0	"ARF4"
1.6797924566814e-66	0.757174979745725	0.406	0.331	5.0393773700442e-63	"CTD-2521M24.8"
0	0.733931904446132	0.985	0.91	0	"MT2A"
0	0.713044068386378	0.825	0.602	0	"GDF15"
0	0.696669902322145	0.881	0.664	0	"GADD45A"
0	0.682548888260966	0.978	0.904	0	"TRMT112"
0	0.634415688385751	0.977	0.916	0	"KRT10"
0	0.633827049628406	0.987	0.937	0	"ATF4"
0	0.623697793621583	0.959	0.728	0	"LINC00152"
1.40911651100526e-315	0.618367523406073	0.962	0.85	4.22734953301577e-312	"MAP1LC3B"
1.45448585966842e-181	-0.585071500215063	0.937	0.832	4.36345757900527e-178	"TFAP2B"
2.86749834092286e-120	-0.594651624907805	0.867	0.845	8.60249502276858e-117	"GNG3"
6.67371546748678e-29	-0.596109826087731	0.963	0.902	2.00211464024603e-25	"TTR"
2.76258950694894e-212	-0.600466618934799	0.923	0.899	8.28776852084682e-209	"PTPRS"
1.14504432417071e-309	-0.602932460248256	0.982	0.991	3.43513297251213e-306	"HNRNPA1"
2.974187739969e-126	-0.616033168015073	0.963	0.934	8.92256321990699e-123	"PCSK1N"
2.99119879152034e-249	-0.627730509549661	0.866	0.856	8.97359637456103e-246	"DNER"
0	-0.63105697378632	1	0.999	0	"TMSB10"
1.16830711625903e-151	-0.637799438770602	0.963	0.929	3.50492134877708e-148	"SOX11"
4.16400309405481e-241	-0.647779012051086	0.973	0.955	1.24920092821644e-237	"TUBB2A"
9.44530479609408e-269	-0.656320229709183	0.989	0.986	2.83359143882822e-265	"MAP1B"
6.92837072300236e-253	-0.658891626272233	0.979	0.978	2.07851121690071e-249	"PTMS"
8.43994291957364e-218	-0.660049686957863	0.882	0.873	2.53198287587209e-214	"NSG1"
1.38162747013785e-90	-0.665608786275585	0.931	0.882	4.14488241041356e-87	"HES6"
0	-0.676693893197585	0.999	1	0	"ACTB"
1.31104875370871e-197	-0.686630140870849	0.731	0.83	3.93314626112613e-194	"MIAT"
7.79872613093615e-144	-0.704870780873917	0.987	0.98	2.33961783928085e-140	"TUBA1B"
4.83773252880339e-201	-0.705344529967201	0.969	0.984	1.45131975864102e-197	"HMGB1"
5.41352965267088e-150	-0.717885105762789	0.954	0.916	1.62405889580126e-146	"STMN4"
1.43832062170736e-164	-0.722068599599943	0.949	0.907	4.31496186512208e-161	"NNAT"
2.69169573031891e-180	-0.758906437768666	0.857	0.82	8.07508719095672e-177	"HMP19"
2.87340570934781e-69	-0.765381033241358	0.997	0.993	8.62021712804343e-66	"PTN"
0	-0.782062513362772	0.963	0.946	0	"NFIB"
2.39119573684688e-167	-0.791496841307089	0.971	0.926	7.17358721054063e-164	"GAP43"
1.49995640667417e-205	-0.797991025659348	0.764	0.887	4.49986922002251e-202	"BASP1"
0	-0.813204208577738	0.964	0.94	0	"GPM6A"
1.16773395294115e-216	-0.813423810139811	0.837	0.805	3.50320185882344e-213	"DCX"
0	-0.82621325049195	0.999	0.998	0	"TUBA1A"
5.14496733995699e-197	-0.887057616439025	0.904	0.818	1.5434902019871e-193	"RTN1"
1.39552366377747e-248	-0.892816480284639	0.95	0.925	4.1865709913324e-245	"TAGLN3"
3.61603129510554e-192	-0.896431393342108	0.813	0.844	1.08480938853166e-188	"CD24"
9.88915438048603e-302	-0.91521377500127	0.948	0.932	2.96674631414581e-298	"NREP"
5.98072579209753e-294	-0.935201294227251	0.773	0.864	1.79421773762926e-290	"TMSB15A"
0	-0.983851691639197	0.987	0.995	0	"TUBB2B"
0	-0.988213842230212	0.892	0.943	0	"MT-ND5"
3.5722317160343e-240	-1.0107560347212	0.946	0.957	1.07166951481029e-236	"MLLT11"
0	-1.0729012547845	0.981	0.993	0	"TUBB"
0	-1.09233348265929	0.982	0.988	0	"MT-ND1"
0	-1.11338950811299	0.99	0.986	0	"STMN1"
4.0116229078967e-160	-1.15808286948876	0.772	0.822	1.20348687236901e-156	"CRABP1"
0	-1.16661452125726	0.991	0.992	0	"MT-ATP6"
0	-1.18723072781054	0.997	0.998	0	"MT-ND2"
0	-1.21740969144081	0.997	0.997	0	"MT-CO1"
0	-1.23666234557716	0.986	0.992	0	"MT-CYB"
0	-1.2479866565648	0.995	0.997	0	"MT-CO2"
0	-1.29387434925381	0.988	0.991	0	"MT-CO3"
0	-1.33396117347994	0.994	0.997	0	"MT-ND4"
0	-1.34165867470857	0.989	0.993	0	"MT-ND3"
0	-1.3910253517464	0.981	0.986	0	"SOX4"
3.68564961703863e-182	-1.57829222983448	0.968	0.926	1.10569488511159e-178	"STMN2"
