"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	0.794788653994439	1	0.999	0	"RPL27A"
0	0.779418315746167	1	1	0	"RPL41"
0	0.759909599727452	1	1	0	"RPS19"
0	0.756486637932979	1	0.989	0	"PPDPF"
0	0.740566299306736	0.999	0.985	0	"RPS10"
0	0.727023970474229	1	0.999	0	"RPS12"
0	0.724027343404517	0.999	0.999	0	"RPL36"
0	0.721052056466183	1	0.999	0	"RPL12"
0	0.714402153326371	1	0.999	0	"RPS18"
0	0.687060878373714	1	0.998	0	"RPL37A"
0	0.685655138236095	0.994	0.976	0	"RPL36A"
0	0.670319449374534	1	1	0	"RPL13"
0	0.664248464398518	0.999	0.997	0	"RPL26"
0	0.663164350477867	0.999	0.995	0	"TPT1"
0	0.658603639302074	1	0.999	0	"RPS17"
0	0.650045244490483	1	1	0	"RPS6"
0	0.645840758355259	0.999	0.997	0	"RPS20"
0	0.637763733573503	1	1	0	"RPLP1"
2.65518103144592e-287	0.632307850512199	0.961	0.885	7.96554309433776e-284	"AC090498.1"
0	0.62529810523388	0.979	0.894	0	"IFI27L2"
0	0.623640611546787	0.999	0.998	0	"RPS23"
5.09600980880451e-254	0.618010460706599	0.886	0.733	1.52880294264135e-250	"RAB13"
4.02207236606456e-278	0.616009435408356	1	1	1.20662170981937e-274	"FTH1"
6.62029424546251e-227	0.595778857785002	0.997	0.986	1.98608827363875e-223	"C1orf61"
6.5721576976536e-57	-0.587283994650087	0.688	0.824	1.97164730929608e-53	"HMGB2"
6.82191231955123e-78	-0.595459678908752	0.948	0.908	2.04657369586537e-74	"NNAT"
1.89150772465329e-255	-0.595673053260944	0.936	0.895	5.67452317395988e-252	"NR2F1"
9.37056393178054e-284	-0.595998855215666	0.952	0.949	2.81116917953416e-280	"PSAP"
2.6291181789569e-216	-0.596602845496145	0.913	0.884	7.88735453687069e-213	"ID2"
6.85707928125672e-105	-0.600041259865757	0.959	0.935	2.05712378437701e-101	"PCSK1N"
7.19044132996202e-269	-0.603969523844355	0.95	0.965	2.15713239898861e-265	"PRDX1"
2.84811873098337e-257	-0.607613700296691	0.886	0.884	8.5443561929501e-254	"PSIP1"
5.34059061898212e-267	-0.610828355775703	0.899	0.936	1.60217718569464e-263	"RANBP1"
1.08021694937705e-301	-0.612346669681656	0.928	0.937	3.24065084813116e-298	"CALR"
7.69372015603316e-217	-0.614205533037663	0.568	0.849	2.30811604680995e-213	"PGK1"
1.02527779331893e-95	-0.614931954660365	0.864	0.846	3.07583337995679e-92	"GNG3"
8.06881766071462e-77	-0.620491715204691	0.594	0.702	2.42064529821439e-73	"HIST1H4C"
2.94653101404427e-185	-0.622824055835535	0.633	0.81	8.8395930421328e-182	"ATP1B1"
3.65864768696522e-217	-0.642051278188083	0.693	0.812	1.09759430608957e-213	"KIF5C"
1.10956540971654e-280	-0.65343213104438	0.975	0.967	3.32869622914963e-277	"CALM1"
6.17831179357114e-167	-0.6549872925165	0.801	0.825	1.85349353807134e-163	"MIAT"
0	-0.656967214390554	0.98	0.988	0	"HSPA8"
1.1800998043805e-141	-0.659963988692832	0.766	0.842	3.54029941314149e-138	"TFAP2B"
3.76071745357759e-285	-0.668335948367209	0.943	0.882	1.12821523607328e-281	"NOVA1"
1.0573989867745e-208	-0.670799354021656	0.717	0.864	3.1721969603235e-205	"DNER"
8.68662701443903e-280	-0.671016051866758	0.831	0.887	2.60598810433171e-276	"PBX1"
2.15581536095815e-184	-0.682847634635064	0.919	0.83	6.46744608287444e-181	"SYT1"
4.96631255049485e-48	-0.687878302287979	0.758	0.822	1.48989376514846e-44	"CRABP1"
3.74295019300434e-207	-0.687963845860246	0.632	0.759	1.1228850579013e-203	"CITED2"
9.59922448144243e-226	-0.693914817218663	0.95	0.965	2.87976734443273e-222	"BEX1"
3.89676055277907e-143	-0.69449307619139	0.886	0.855	1.16902816583372e-139	"DDIT3"
0	-0.694866622883685	0.724	0.944	0	"PKM"
2.57695127345344e-227	-0.695837544076282	0.981	0.993	7.73085382036033e-224	"TUBB"
0	-0.696813022452266	1	1	0	"ACTB"
8.53948753414185e-315	-0.698077890379694	0.508	0.873	2.56184626024255e-311	"MAP1LC3B"
1.15212184836246e-142	-0.708641305022911	0.893	0.819	3.45636554508738e-139	"HMP19"
1.78448032388558e-312	-0.710918596748872	0.846	0.93	5.35344097165673e-309	"CYCS"
1.94787248176868e-286	-0.730934040593078	0.953	0.946	5.84361744530603e-283	"ARL6IP1"
0	-0.736111260257499	0.588	0.87	0	"SFPQ"
3.11505432259426e-258	-0.747389874331098	0.559	0.791	9.34516296778279e-255	"ELAVL3"
1.86403075402939e-291	-0.753131237521677	0.754	0.887	5.59209226208818e-288	"DAAM1"
9.54306144248191e-295	-0.754248917962288	0.434	0.792	2.86291843274457e-291	"JUN"
0	-0.760669950653314	0.994	0.999	0	"TUBA1A"
0	-0.761154876439854	0.882	0.922	0	"TCF4"
3.06036944735996e-140	-0.774906090527656	0.768	0.808	9.18110834207989e-137	"DCX"
0	-0.787443621852024	0.952	0.947	0	"NFIB"
0	-0.790350087640774	0.974	0.987	0	"MAP1B"
1.64431113709918e-213	-0.798039011446449	0.93	0.933	4.93293341129753e-210	"NREP"
0	-0.816464839562649	0.967	0.984	0	"HMGN2"
3.74021061884533e-180	-0.836135639895643	0.952	0.93	1.1220631856536e-176	"SOX11"
0	-0.858840124078273	0.984	0.997	0	"CALM2"
6.06883195457502e-256	-0.864123011097676	0.749	0.9	1.82064958637251e-252	"NEAT1"
0	-0.878188242773277	0.953	0.984	0	"HMGB1"
0	-0.882598583299385	0.95	0.967	0	"H2AFZ"
2.00974688587177e-180	-0.889638971569962	0.952	0.927	6.02924065761532e-177	"GAP43"
0	-0.891004731410999	0.948	0.941	0	"GPM6A"
0	-0.891655351720264	0.946	0.956	0	"TUBB2A"
0	-0.937889020083265	0.954	0.973	0	"UCHL1"
0	-0.939288593335196	0.664	0.951	0	"SRSF3"
2.67587863083073e-253	-0.950045896058191	0.937	0.926	8.02763589249219e-250	"TAGLN3"
8.27526129823511e-209	-0.972440907750288	0.929	0.918	2.48257838947053e-205	"STMN4"
0	-1.01521572963135	0.913	0.959	0	"BTG1"
2.37618077424312e-225	-1.01948914908695	0.734	0.847	7.12854232272936e-222	"CD24"
5.43397300991708e-235	-1.02780203133733	0.561	0.836	1.63019190297513e-231	"RTN1"
0	-1.11880830772804	0.592	0.894	0	"BASP1"
4.68707867801096e-307	-1.16136005472013	0.93	0.958	1.40612360340329e-303	"MLLT11"
0	-1.23232661082404	0.961	0.988	0	"STMN1"
0	-1.60945064266425	0.96	0.986	0	"SOX4"
1.30252951146707e-144	-1.63957851797918	0.93	0.929	3.90758853440121e-141	"STMN2"
